address,avg_price,lat,long,review_count,shop_id,shop_name
 湖堤路388弄3号 ,115,30.93784,121.49671,126,H1totg7vuIO1vJoZ,二月livehouse
 四川北路989弄35号今潮8弄10号楼2楼10-106号 ,171,31.250601,121.484438,241,FkUn9f9wjkexvmUv,ARK LIVE HOUSE
 福建北路139号苏河湾万象天地西里LG1层121号商铺（nama cocoa内） ,181,31.242352,121.478042,295,Ga1dSGLImCb36qBZ,PLUTO
 联航路1818弄34号一层A座红星国际广场（浦顺路恒凯路入口、如家精选酒店对面） ,126,31.078496,121.511659,192,kaIFAcXK003zxNZH,Highland Pub鸡尾酒吧生啤精酿威士忌
 张杨路1500弄40号鄂尔多斯艾力大厦底商 ,129,31.233766,121.539076,289,G1EC1MMrC7EcZSlA,Rolling Wheels
" 广富林路658弄万达金街21号2F（万达7号门对面,中国联通旁边） ",123,31.057428,121.244698,124,G1i0x9K1SI67gYel,月见花酒廊Whisky&Cocktail Lounge
 银亭路58、60、66号第1幢2楼2C室 ,293,31.171325,121.375983,214,H5iEkMNFTlUJIwEr,MUSE 缪斯酒吧
 金汇南路118号07室 ,262,31.171971,121.37728,462,H8IxCuMcDPjMGYIL,MIAMI 迈阿密酒吧
 南丹东路207号 ,76,31.189658,121.439878,188,G3BrOOPRlweFpvgx,DG bar
 大学路280号302室 ,95,31.303408,121.507878,137,G1FqfQhliLPV34Kf,心碎男孩收容中心·24h
 博乐路东下塘街51号 ,93,31.384761,121.252421,519,l5g5v0K9ZQ2FToFr,TANGHUI BAR堂绘
 泰康路274弄15号后门（田子坊3号门尽头右侧） ,130,31.208174,121.468186,891,G6ZOhq2pqKbPUERm,Shadow&light Bar
 瑞虹路188号瑞虹天地·月亮湾2楼（棒约翰楼下） ,119,31.264781,121.498791,220,kajwItiULm6OXZQ1,Geographer地理学家酒馆Whisky&Cocktails
 申长路869号526、527、528室 ,111,31.192668,121.313263,134,H7yLUOYsMd6yIG2S,MIAMI 迈阿密酒吧
 锦秋路809弄72号汉庭酒店侧面巷子里50米 ,110,31.320798,121.386208,265,G6NJsN805J7MXeqZ,鸵鸟先生 Live House
 西藏中路90号6楼 ,199,31.230148,121.477808,86,H3jfk3I3OJK4Ab2C,OPUS lounge
 长寿公园长寿路与西康路交叉口 ,121,31.242421,121.439631,211,ka8jQdftw7bqrUND,Bar·蓉Whisky&Cocktail
 延安西路2088号睿珑广场A103 ,181,31.202429,121.408089,231,G21OJFiJ5iQ70CL6,SYARE&apos;S 洒落&apos;S whisky&cocktail
 成都南路106号（周二店休） ,101,31.221802,121.467551,585,l5XUIVy1ssJA8yxg,antisocial社恐研究站 Cocktail Bar
 银城路119号尚悦西街B1-11 ,141,31.242933,121.511603,249,H9MnoMmcMQKVIlrz,Blues’s Bistro
 中山南一路488号B座301-2 ,101,31.199031,121.483701,143,laHFbl0VIIL1He3y,Apex
 黄陂南路848号中海环宇荟一层L152 ,212,31.211262,121.477728,4220,G4zPfjBZ5ImxkpOH,1886·中国好声音Live House
 万航渡后路59号 ,151,31.229457,121.425597,343,kauETGFCpV3DCURd,NEOBRIDGE桥下酒馆
 蒙自东路27号友湾商业广场负一层117号（近蒙自路） ,159,31.207551,121.477691,379,H5lJUVRkEiZjLt4V,Sugary Cocktail&Whisky Bar
 古美路689号 ,150,31.147009,121.403909,260,k2aKbGmwxMTfRtN5,VESPER Whiskey & Cocktail Bar
 中春路地铁站6号口中春路8633弄27栋77号 ,123,31.150132,121.337462,302,k4k92p3PFvWKLvda,远方小酒馆
 淀山湖大道吾悦广场150弄16号206 ,90,31.144933,121.096263,82,Fo4z5YbKV89zhtzx,远方小酒馆
 番禺路390号-10号lope390商场2楼 ,161,31.203939,121.429889,417,k5TkKDctwZvWAaK6,Black Swan Whisky&Cocktail
 姚虹路85号(近吴中路) ,136,31.186685,121.408736,251,k7B23iATQDQc07vV,Way Back Bar
 新松江路1277号东鼎商务大厦主楼21楼2104号 ,120,31.038179,121.210269,156,G2VtlBdswdsktrhu,遇叁楼Whisky&Cocktail Bar
 泸定路388号第2层L2-41、42商铺 ,129,31.227202,121.389312,188,l222mEjdCaJIUsdV,大飲饮于肆whisky·Cocktail Bar
 灵石路699号26幢101室（灵石坊园区内第一家） ,117,31.283469,121.445004,169,H6Yn3olKGjONChYr,酒精當铺WHISKY COCKTAIL
 光星路万达广场金街115号2层小米售后服务楼上 ,118,31.058511,121.241891,249,l6UKLKVcuBQy3mal,遇叁楼Whisky&Cocktail Bar
 碧泉路108号1楼 ,101,31.110464,121.381894,183,l785DeLJn8UeQ8oa,TIAN TATTOO BAR
 襄阳北路108号 ,230,31.216623,121.456071,1895,l5xSg9o5gXVpW3de,FLASK
 大学路103号801（人生一串楼上8楼） ,123,31.304321,121.510821,441,G2auSQLHqfu98aEU,Nowhere
 中山南一路788号博荟广场购物中心B1层B1-2-A单元（不眠花园里） ,177,31.196688,121.479858,86,H4UIbhmlBANWsFjS,EZ5LiveHouse
 南昌路70号（靠近雁荡路） ,120,31.21944,121.46939,107,l7DeWeMbnSSLyNiA,Bedlam神经且慵懒
 莲花南路1500弄麦多生活广场16号106（距景西路地铁站4号口470米） ,52,31.097731,121.412481,66,G6TqYvAt5GjvYVG3,浅咖深酒coffee·craft·beer
 上南路3039号维也纳酒店大门左侧一层8室 ,108,31.162543,121.498333,128,k1TCppwFHYC2vy3b,500音里音乐酒馆
 美仁里成都南路126号 ,52,31.221341,121.467781,147,jnydHipSCdC4yx2i,126&公路商店
 奉贤路50号 ,215,31.232041,121.461931,293,H2ozawOEXDEbBxxq,CARTER
 南京西路931号上海凯世精品酒店1-2楼 ,367,31.229771,121.459301,276,H8G6oUUFihbAA37y,Forté
 东诸安浜路57号 ,240,31.218294,121.435814,589,k5gsySx2b9pwelWD,Vinism
 半淞园路647号-1楼（西藏南路和半淞园路交叉口） ,226,31.198078,121.492398,267,H2G4yDFWd5luIziz,P-CLUB·威士忌研究所
 浙桥路289弄碧云公馆3号楼（近金科路） ,149,31.25316,121.601808,171,k26bLJ5vtkQgQP6f,慢行旅酒廊
