,note_id,timestamp,title,content,like_nr,star_nr,comment_nr,user_id,author_name,user_url,images
0,6457735c000000000800ee6c,1683452764000,,"如果你还需要我介绍HOOD，那你肯定是夜店小白，上海蹦迪选手有一半都被HOOD免费赠送的酒店套餐感动过。
HOOD是现在158街区最火的夜店，它的模样就是你关于说唱能想到的一切。就连工作日舞池都是满的，说唱爱好者蹦野迪的好选择。",39,33,2,5b1a117b11be101851a72131,上海HOOD,https://www.xiaohongshu.com/user/profile/5b1a117b11be101851a72131,"['https://sns-img-hw.xhscdn.com/623e83aa-9339-e21d-2e83-19e27f229d36', 'https://sns-img-hw.xhscdn.com/26f3da18-f6b0-bf52-2a2a-e375d3a40b8c', 'https://sns-img-hw.xhscdn.com/d3e785d2-c684-4728-5daf-28f3e9153ae9']"
1,64254523000000001300c49c,1680174046000,十大上海值得去的酒吧｜小众又高级,"放假和朋友小酌微醺不知道去哪里的时候
可以看看这篇笔记！
1、Speak Low彼楼
2、GLORY·Café&Bar
3、Lieben
4、植物收藏家
5、Bar Limbo·境
6、Bar Lotus
7、lnsomnia
8、Bar Straight
   ",561,664,7,5f421a0a000000000101c020,喝酒的黎同学,https://www.xiaohongshu.com/user/profile/5f421a0a000000000101c020,"['https://sns-img-bd.xhscdn.com/7b07e158-1578-641a-b942-9854792ca122', 'https://sns-img-bd.xhscdn.com/719ded31-9ba5-bede-6ede-2687855edf40', 'https://sns-img-bd.xhscdn.com/059e7776-b956-096f-739c-5a4625184143', 'https://sns-img-bd.xhscdn.com/eb4b919f-d993-c98a-34c5-11ea3c9cdda6', 'https://sns-img-bd.xhscdn.com/5f2b2500-6380-af74-6e84-648411117444', 'https://sns-img-bd.xhscdn.com/5f352ebf-555d-804c-6ad5-6e6f89ea4bf5', 'https://sns-img-bd.xhscdn.com/2475df7b-99ff-c5e7-94e8-ba0245fd1bc3', 'https://sns-img-bd.xhscdn.com/c7399f6b-8d2e-a725-606e-5f257b7d51f9', 'https://sns-img-bd.xhscdn.com/5192d7f4-f035-cea6-dd08-d222cd93e1e5']"
2,648d80ea000000001300aa07,1686995178000,💢上海蹦迪的12家热门酒吧（酒吧攻略）,"
上海夜生活又迎来一波开店潮 今明两天便有5家夜店开业[斜眼R][斜眼R][斜眼R][斜眼R]据不完全统计接下来还有8.9家在筹备中
复兴公园开的ins娱乐综合体会表现怎么样 我们拭目以待‼️
hiphop 店
⭕️HOOD（上海hiphop天花板 每天爆满）
📍黄浦区巨鹿路158号
⭕️BOOMSHAKE（年轻人多江浙沪地标旗舰店）
📍 黄浦区淮海中路138号上海广场
⭕️ORIl （ins风hiphop夜店、弹簧舞池）
📍黄浦区淮海中路566号二楼
⭕️1 OAK （欧美明星后花园、全球品牌夜店）
📍 黄浦区龙华东路333号A座
⭕️NINJA（留学生喜爱的hiphop夜店）
📍静安区巨鹿路158号、758号
⭕️404 （帅哥美女豪客巨多的夜店）
📍黄浦区黄陂南路838号环宇荟L211
EDM 店
⭕️MASTER黄埔区 （声光电极致EDM蹦迪店）
📍淮海中路523号
⭕️EP （百大 DJ 场 以 ARMIN 和大家见面 立志打造世界级音乐现场）
📍黄浦区兴业路 123 弄南里广场 6 号楼 5F
INS 复兴·乐园
⭕️HUSH（北京 ph开在上海的第一家夜店）
📍 黄浦区雁荡路 109 号INS 复兴乐园 2F
⭕️RADI（主打流行厅 ）
📍 黄浦区雁荡路 109 号INS 复兴乐园 3F
⭕️LaFin（欧美流行多元音乐 bns 兄弟店）
📍 黄浦区雁荡路 109 号INS 复兴乐园 6F
⭕️playground（小众亚文化 techno 音乐风格）
📍 黄浦区雁荡路 109 号INS 复兴乐园 6F     ",134,120,4,62ea4256000000001501ba05,上海酒吧hood,https://www.xiaohongshu.com/user/profile/62ea4256000000001501ba05,"['https://sns-img-hw.xhscdn.com/b2bb0928-f3d9-6f81-33f5-c4250ae50ee7', 'https://sns-img-hw.xhscdn.com/ca098056-b21c-2655-c5d6-9b3ea09a132b', 'https://sns-img-hw.xhscdn.com/c15d5f4e-ed8b-9772-5232-611252236ca4', 'https://sns-img-hw.xhscdn.com/8a6e0a2f-40dd-f222-614c-3cd96c31c2e2', 'https://sns-img-hw.xhscdn.com/a36d2f9a-73ef-ff19-79b9-bab7f278c559', 'https://sns-img-hw.xhscdn.com/2d7e3256-63ac-406f-4bb8-263175e5299b', 'https://sns-img-hw.xhscdn.com/853f0f92-9ca5-15ac-2ae1-a8c55145ed0e', 'https://sns-img-hw.xhscdn.com/c5174a6e-b9d1-5e8a-617b-d60772802547', 'https://sns-img-hw.xhscdn.com/af764161-c390-d54b-664c-d5b9d8782cf4']"
3,64254c12000000001303eab9,1680165906000,亚洲top50酒吧，上海占三家？！,"🏆2022亚洲TOP50酒吧榜单，去年🇨🇳共有13家酒吧上榜，其中大陆有四家酒吧，其中三家就来自上海‼️不知道你们去过几家呢？
-
🌟Speak Low
📍复兴中路579号
💥亚洲top50的必去酒吧❕人气满满❕一家看上去是书店的酒吧。酒吧的入口是店内书架后面的暗门~三层楼的美式复古设计，三楼还需要找到秘密机关才可以解锁哦~
-
🌟Union Trading Company
📍上海市徐汇区衡山路306号
💥我极力推荐的就是他家的南方冰茶；还有Sazerac，草本味道比较重🤩
‼️不能官方预约的，只能walkin，想要好位置的可以早点去哦~
-
🌟COA
📍胶州路313号
💥亚洲top50酒吧榜单的上海分店，传说是鸡尾酒亚洲No.1。酒单与香港店差不多一致，环境也非常OK。一楼是吧台的位置；二楼是散客，带有阳台；三楼主打龙舌兰，并且调酒师会介绍每一款酒噢~体验感直接拉满！
‼️店里是不接受预约的，可以提前排队；第一批没进去也可以留电话号码~
-
🌟J.Boroski
📍静安寺街道富民路
💥从香港来的一家昆虫主题的清吧🙀店里有好多🪲标本。超级神秘，门头没有标识，很隐蔽的黑门，也没有酒单；在这里，只要告诉调酒师基本喜好，他就可以即兴调一杯特调~新鲜感满满！
-
🌟Insomnia
📍淮海中路766号1-03室
💥超级有格调，银河系吧台绝美，一整个金属感和暗黑风的感jio。调酒的种类也非常多~我最爱的一款酒是秋日私语，酸酸甜甜的。
‼️卡座无低消，但要记得提前预约哦~
-
🌟EPIC
📍徐汇区高邮路17号
💥连续几年拿过top50的一家全中国人运营的酒吧！每一层的风格都不同，一楼dinning room，二楼living room，比较活泼，三楼Reanding toom，偏静谧。
主理人Cross Yu还曾是世界调酒比赛冠军！这里的特调真的让人非常惊喜了！☺
‼️记得周五周六不能长待二楼哦，21：00是一个分界点~
                ",508,980,1,633421c1000000001802ebb8,tastesmart,https://www.xiaohongshu.com/user/profile/633421c1000000001802ebb8,"['https://sns-img-hw.xhscdn.com/6d8f6b98-5ae8-3fc4-20d8-728702f2b2e6', 'https://sns-img-hw.xhscdn.com/90c5b571-6e60-8c37-5f5f-c742fd72a765', 'https://sns-img-hw.xhscdn.com/9ad0f93a-efbd-384d-7607-2f4da563031f', 'https://sns-img-hw.xhscdn.com/12e69dfd-6b20-8f2b-5df2-e257dc6af8b8', 'https://sns-img-hw.xhscdn.com/98f820d9-6da7-a9c8-d92f-bf43833a187f', 'https://sns-img-hw.xhscdn.com/03464e86-8527-c533-731b-437418333a11', 'https://sns-img-hw.xhscdn.com/f8d33b4b-5184-b4d2-0c83-0ad1028c0b23']"
4,641e052900000000130022ff,1679689001000,带你们快速了解酒吧的类型,"
	
[一R]Club 夜店
地儿大人多，动感的音乐将蹦迪氛围直接拉满，一般有DJ台和舞池，音乐声音大且节奏快，大家跟随音乐摇头晃脑。
	
[二R]Pub （没想到合适的中文）
有吃有喝有玩，比较老式、复古
用户群大多中年人
国内风格鲜明的pub很少
（基本都是台球厅混搭）
	
[三R]Bar 清吧静吧
完全享受酒精的乐趣
酒的品质高，服务好
音乐多是安静的爵士乐
	
[四R]Live house 现场演出
小型现场演出的场所
门票可以进去看演出
酒水单点（不贵）
座位很少，都是站着
	
[五R]Lounge （没想到合适的中文）
Bar的一种，音乐更chill
只有座位，直译为“休息室“
如有什么不足地方，欢迎大家补充
",405,285,7,5d3af1070000000016033449,上海HOODORII酒吧销售乔歌,https://www.xiaohongshu.com/user/profile/5d3af1070000000016033449,"['https://sns-img-qc.xhscdn.com/e2f800c0-b3b3-4a75-444b-0fe6bc3cb67e', 'https://sns-img-qc.xhscdn.com/69b5e1ea-23cf-aa11-3c79-dc2e7f71cfcb', 'https://sns-img-qc.xhscdn.com/e3e4ef1f-9b40-fefa-8b33-a0f853f06d94', 'https://sns-img-qc.xhscdn.com/2b5f3b8f-e6be-ef0f-d75f-9dce886ba943', 'https://sns-img-qc.xhscdn.com/5898867c-cac1-077d-ffd6-0cebc386a9c1', 'https://sns-img-qc.xhscdn.com/c3fa5820-a950-1a06-d44d-c92d6d1efe30', 'https://sns-img-qc.xhscdn.com/f4766ad2-2235-bf40-86d7-34b57630b1b0', 'https://sns-img-qc.xhscdn.com/51de923a-d464-0af5-bb97-898eebc6e0d0', 'https://sns-img-qc.xhscdn.com/9c3983be-8dcf-1d76-8063-3677f874db61']"
5,6426802f000000000800f2f5,1680264049000,魔都美食|收藏！适合好友小酌的精酿店铺推荐,"以下7家推荐的上海精酿店，值得UU们周末携三五好友小聚小酌
1.啤酒阿姨（延安西路）
琳琅满目的啤酒墙总有一款适合你。作为评价啤酒超市，主打一个性价比，各种各样的啤酒口味都能选择
⌚️：周一~周日 11:00-03:00
2.公路商店（襄阳北路）
和啤酒阿姨形式类似，但是店铺面积不大，经常能看到大家举着酒瓶在马路边三三两两聊天，好不惬意
⌚️：周一~周日 19:00-02:00
3.Liquid Laundry (淮海中路)
一家以美式餐厅为主的精酿酒吧，位于徐汇区。这里有多种风味的精酿啤酒和手工鸡尾酒，可以满足不同的口味。餐厅的装修风格非常独特，环境舒适，是一个放松身心的好地方。
⌚️：周一~周日 11:00-01:00
4. Senator saloon（五原路）
门头很小，很容易找不到。屋内不大，每桌的煤油灯十分有复古的感觉。如果去的晚，可能还要等位
⌚️：周一~周日 17:00-02:00
5.SUZU BAR
日式清吧，很多酸酸甜甜适合女孩子喝的酒，当时和闺蜜一起去打卡，送了很好吃的饼干，然后就不停地加饼干⌚️：周一~周日 19:00-02:00
6.Macarena 玛卡莲娜西班牙餐厅（徐泾）
这家店是从装修到食材都是地道的西班牙风格，梦回地中海。主打餐厅，但是其中有个bar可以边吃边点喜欢的酒也可以单独约好友来小酌。当然地点在徐泾，适合家住外环外的小伙伴来打卡。去年的生日也是和老公在这里庆祝的，很不错
⌚️：12:00-23:00
7.JZ club爵士酒吧
之前团子在情人节特辑和大家介绍过，可以边听爵士乐live演奏🪗一边喝酒
⌚️：周一至周四 20:30-次日01:00周五，周六 18:30-次日02:00周日 18:30-次日01:00
8.Speak low彼楼
亚洲Top50，天天排队，入口有小机关藏在暗门之后，很神秘的样子。
⌚️：周一至周四，周日 18:00-次日01:30
周五，周六 18:00-次日02:30
8.其他
Candor（已关闭）：边看红磨坊边喝酒的小众店铺目前暂时关闭UU们不要跑空，期待还能再见；另外就是永康路/老外街/ Found158/大沽路这四大片区应该基本属于爱酒之人必逛片区，这里一定能找到适合你喝酒style的店   @生活薯",146,164,1,589076e282ec39035b02b462,爱生活的圆团子🍡🍡🍡,https://www.xiaohongshu.com/user/profile/589076e282ec39035b02b462,"['https://sns-img-qc.xhscdn.com/a5861db0-789b-abc5-675f-db92b9a843f7', 'https://sns-img-qc.xhscdn.com/ff55beb3-5ffb-e851-97c8-4597cc17806b', 'https://sns-img-qc.xhscdn.com/952aab94-0201-22c4-3621-f7b2f54ff245', 'https://sns-img-qc.xhscdn.com/2501ba2e-123f-2b94-5d93-6b70233b612a', 'https://sns-img-qc.xhscdn.com/ba0429c4-c4ce-f5de-fbde-6a32f741857b', 'https://sns-img-qc.xhscdn.com/dc30393c-114c-9d45-53ae-3a34e323699d', 'https://sns-img-qc.xhscdn.com/c4049e1b-4d66-c379-a611-f46aa478bd27']"
6,64467274000000001203e2e2,1682338420000,抄作业了 上海夜生活哪里去,上海目前开业的酒吧一览   ,889,772,22,6048696000000000010040ef,Zoyaxy,https://www.xiaohongshu.com/user/profile/6048696000000000010040ef,['https://sns-img-hw.xhscdn.com/bce04bc2-e88f-997e-ddb3-f5a5855b2e15']
7,6385fed8000000001b0145da,1669725912000,上海100家酒吧｜1-20｜主流Hiphop酒吧推荐,"上海Hood酒吧
Hiphop天花板，舞池大气氛好，适合蹦野迪，周末🎫100配鸡尾酒，平日卡座2k，周末6k/8k
🎵：Trap/b榜热歌
	
上海Akoma酒吧（嘻哈）
复工风装修，各种创意活动，最近人气急剧下滑，舞池大，周末气氛还不错，🉑️野迪。平日1k/2k周末3k/6k
🎵：Trap/Funky/Disco
	
上海Ninja酒吧（嘻哈）
最近上海酒吧都没啥人，Ninja 两家店巨鹿路158&758，周末人气还ok。就是场地太小。以前襄阳北路的时候甚至能排队2小时。适合野迪。周末🎫100
🎵：Old/new school
	
上海404（嘻哈）
这地方就很奇葩，没舞池，大哥多和混的女孩多，卡座动不动2 3w。不是大哥就别去了。
	
上海1oak（嘻哈）
Abc和老外多，现在人气也不如以前，周末卡座3k
舞池大
🎵：Boombap
	
上海Chance
上海首家中文跳舞俱乐部，平日没人，周末气氛很好，常常全场大合唱，舞池大，卡座不大
周末3k/4k
🎵：经典中文歌/kpop/Hpop
	
上海One class
中文场，没舞池，吧台挺大，周末4/5k，偏网红店
	
上海Potent
Lgbt群体很多，大厅Hiphop，小厅Techno
吧台、卡座、舞池都超大。周末卡座5k/6k
🎵：口水Hiphop，🎵一般，周末男🎫100，女免
	
适合野迪
	
Elevator
	
真正的跳舞俱乐部，常有变装活动，喜欢Techno不要错过，适合野迪
🎵：主打Techno/House/Dupstep/实验/黑胶
	
All：亚文化人群聚集地，各种Y2k人群，号称国内最先锋的实验电子乐Club，周末🎫100带🍹
	
Celia
主打Techno/Deep house /Tech house，场地挺小的，音乐无敌。适合野迪。🎫100
	
Dada
	
上海比较知名的地下音乐俱乐部，亚文化大本营
🎵：Techno/drum bass （看当天dj风格）
🎫50
	
Long（蟲）
很适合野迪的Hpop吧，在158，周末人很多，
	
Orii：新开的，没舞池，适合拍照
	
EDM：Master、Wanmore 没人了，不说了
韩国酒吧有Mass，也没人了
	
留卡dd，从业n年
	
   ",336,311,48,5ab1d88a4eacab465141e34c,上海Hood酒吧,https://www.xiaohongshu.com/user/profile/5ab1d88a4eacab465141e34c,"['https://sns-img-qc.xhscdn.com/9111ad93-b441-335d-3b63-4f301cc0d9f2', 'https://sns-img-qc.xhscdn.com/be0a8ed3-0a56-8010-9fc6-fa72c46571e2', 'https://sns-img-qc.xhscdn.com/26cfdf6c-1c5a-6d14-df20-e45a51c279fd', 'https://sns-img-qc.xhscdn.com/31cbec66-5fa7-bb2e-9ef6-cdb9b3a6ca86', 'https://sns-img-qc.xhscdn.com/c5593db7-c823-2a28-5395-596816504551', 'https://sns-img-qc.xhscdn.com/1712ea6b-a26d-55db-320a-eef92ec575b7', 'https://sns-img-qc.xhscdn.com/ba34a0c9-6670-e57d-d78b-e0360c4eec0d', 'https://sns-img-qc.xhscdn.com/76a3a395-ef27-f0c1-8168-c61b954197f1', 'https://sns-img-qc.xhscdn.com/0c54a658-02e4-9c47-9069-105cde241860']"
8,6491330f00000000130123e9,1687237391000,上海酒吧蹦迪热门12家攻略大全,"2023年6月💕上海酒吧推荐
🔴HOOD
目前人气最高🔝的hiphop夜店、气氛好舞池大，帅哥美女多、周末158大排长龙的队伍就是hood入口
📍地址：黄浦区巨鹿路158号
🔹音乐🎵：Hip-pop/R&B为主
🔹卡座低消：平时2-8k，周末6-15k
🔴BOOMSHAKE
这家店终于来到魔都了！BOOMSHAKE全球旗舰店！BSK开在哪里，哪里就是必打卡的潮地，有着自己独具一格的美学风格，从色彩运营再到装修和音乐以及群层运营上它都有自己独立的体系。
📍地址：黄浦区淮海中路138号上海广场
🔹音乐🎵：hiphop/pop等
🔹卡座低消：平时3k-10k，周末8k-15k
🔴 NINJA
江浙沪地区知名Hiphop，很多玩家心目中的YYDS、有两家店，巨鹿路158和758店，都很小，Underground 风，留学生和老粉多
📍地址：巨鹿路158号和巨鹿路758号
🔹音乐🎵：口水商业黑怕/Old schoo//Trap
🔹卡座低消：平时2-4k，周末3k-5k
🔴1 OAK
1 oak作为全球品牌店，继纽约、洛杉矶、拉斯维加斯、东京、迪拜 全球第六家1 OAK
老外多 品牌调性高 欧美明星后花园 音乐出色
📍地址：黄浦区龙华东路333号
🔹音乐🎵：黑怕/Boombap/黑胶
🔹卡座低消：平时：2k-5k，周末2k-6k
🔴ORII
魔都新晋hiphop夜店 粉色主题 网红现代ins风 好拍照 📷
📍地址：黄浦区淮海中路566号二楼
🔹音乐🎵：hiphop/kpop
🔹卡座低消：平时1.5k-5k 周末2k-6k
🔴上海404酒吧
杭州404在上海开的分店 大哥很多 圈层文化 美女很多 女孩子要看形象进 以前环宇荟Oc的地方
📍地址：黄浦区黄陂南路838号环宇荟L211
🔹音乐🎵：hiphop/Kpop
🔹卡座低消：平时2-5k 周末3-8k
🔴上海Master酒吧
上海黄浦区唯一还在营业的EDM夜店 曾经也是一卡难求 声光电效果全国顶级
📍地址：淮海中路523号
🔹音乐🎵 ：EDM/Psytrance/Bigroom
🔹卡座低消：平时1-4k，周末2-5k",10,6,0,6406e61d0000000014012bcd,上海HOOD ORII酒吧预订,https://www.xiaohongshu.com/user/profile/6406e61d0000000014012bcd,"['https://sns-img-hw.xhscdn.com/db0e6f76-d282-d478-64c9-66ef6c99b349', 'https://sns-img-hw.xhscdn.com/9f68cb22-196e-db3e-6872-970cbb25a431', 'https://sns-img-hw.xhscdn.com/3953d4ef-c8b0-0bf4-ca49-a7045210261a', 'https://sns-img-hw.xhscdn.com/8c03674d-0e37-86b4-25bb-32242a66d1e3', 'https://sns-img-hw.xhscdn.com/d5220205-a1fc-1fc8-276b-8f3793c99980', 'https://sns-img-hw.xhscdn.com/8fcd0a2e-68ab-5db2-5658-a5838d5ef3a2', 'https://sns-img-hw.xhscdn.com/24a553d3-b140-5346-7e5b-e6cf7924c888', 'https://sns-img-hw.xhscdn.com/c9fdf3f8-7234-3c67-f700-983dff5f8e50', 'https://sns-img-hw.xhscdn.com/63b91887-ebb8-df86-c32a-8453d5f0c098', 'https://sns-img-hw.xhscdn.com/7188d3ff-8e07-ad05-98f8-23b001d7866b']"
9,6490792e00000000130358fa,1687189806000,在上海 凌晨可以去喝酒的书店,"假装在巴黎	误入莎士比亚书店
白天是一家咖啡店
晚上九点会有乐队/歌手驻唱，变成酒吧模式
🏠1691cafe&bar
📍上海市静安区奉贤路218号4F
不仅仅是复古的cafe&bar也是超有氛围感的二手
旧书店	无论是黑板、木椅还是成堆的书籍
都完美复刻了塞纳河畔的莎士比亚书店
真的有种置身于巴黎之感
周末去的人是真的蛮多不过店里的书籍还是很丰富的 可以认真翻翻很适合在这里待一下午拍照巨有氛围感 超出片   ",3590,3139,121,62fdfb49000000001200d92d,二愣酷憨憨,https://www.xiaohongshu.com/user/profile/62fdfb49000000001200d92d,"['https://sns-img-hw.xhscdn.com/12f2a644-60c2-0a8c-c8a2-aba13e47e89f', 'https://sns-img-hw.xhscdn.com/ac53c38b-3ce0-ec82-d929-a712b87007c0', 'https://sns-img-hw.xhscdn.com/011859d3-fac6-cef7-4c26-87002423d348', 'https://sns-img-hw.xhscdn.com/65ec9511-0874-2810-87a3-cbf2a42d7e6e', 'https://sns-img-hw.xhscdn.com/a89e92da-9e2e-6d1b-6c39-78a55740e5c9', 'https://sns-img-hw.xhscdn.com/7c98c218-b44e-40ec-9dc7-52b8983aba5e', 'https://sns-img-hw.xhscdn.com/cab7ed40-a914-e573-8fca-be37cd4d0205', 'https://sns-img-hw.xhscdn.com/fd27fcb3-3b4c-66da-e6dc-6c7c32af114c', 'https://sns-img-hw.xhscdn.com/77bb4a37-d6f7-368d-7be0-8c276bf7218d']"
